en,vi
I like both,Tôi yêu thích cả hai
I like jazz,Tôi thích nhạc jazz
I like jazz,Tôi yêu thích nhạc jazz
I like jazz,Tôi mê nhạc jazz
I like jazz,Tôi rất thích nghe nhạc jazz
I like math,Tôi thích toán
I like math,Tôi yêu thích môn toán
I like math,Tôi rất thích học toán
I like math,Tôi có hứng thú với môn toán
I like peas,Tôi thích đậu Hà Lan
I like peas,Tôi thích ăn đậu Hà Lan
I like peas,Tôi rất thích đậu Hà Lan
I like peas,Tôi ưa thích đậu Hà Lan
I live here,Tôi sống ở đây
I live here,Tôi đang ở đây
I live here,Tôi cư trú tại đây
I live here,Đây là nơi tôi sinh sống
I need more,Tôi cần thêm
I need more,Tôi cần thêm nữa
I need more,Tôi muốn có thêm
I need more,Tôi cần nhiều hơn nữa
I saw a UFO,Tôi nhìn thấy UFO
I saw a UFO,Tôi đã thấy một UFO
I saw a UFO,Tôi bắt gặp một UFO
I saw a UFO,Tôi vừa chứng kiến một UFO
I saw a dog,Tôi thấy một con chó
I saw a dog,Tôi nhìn thấy một con chó
I saw a dog,Tôi vừa thấy một con chó
I saw a dog,Tôi bắt gặp một con chó
I'm fasting,Tôi đang nhịn ăn
I'm fasting,Tôi đang ăn chay
I'm fasting,Tôi đang kiêng ăn
I'm fasting,Tôi đang trong thời gian nhịn ăn
I'm nervous,Tôi lo lắng
I'm nervous,Tôi đang cảm thấy lo lắng
I'm nervous,Tôi cảm thấy hồi hộp
I'm nervous,Tôi đang rất căng thẳng
I'm not Tom,Tôi không phải Tom
I'm not Tom,Tôi không phải là Tom
I'm not Tom,Tôi không phải Tom đâu
I'm not Tom,Tôi không phải là Tom đâu
I'm smashed,Tôi đã say rượu
I'm smashed,Tôi say bí tỉ rồi
I'm smashed,Tôi say mèm rồi
I'm smashed,Tôi đã quá chén rồi
I'm thirsty,Tôi khát nước
I'm thirsty,Tôi đang khát
I'm thirsty,Tôi cảm thấy khát
I'm thirsty,Tôi muốn uống nước quá
It suits me,Nó vừa với tôi
It suits me,Nó phù hợp với tôi
It suits me,Nó rất hợp với tôi
It suits me,Tôi thấy nó rất phù hợp
Let's do it,Thực hiện thôi
Let's do it,Hãy làm việc đó nào
Let's do it,Chúng ta hãy làm điều đó
Let's do it,Cùng thực hiện nào
May I begin?,Tôi có thể bắt đầu được không
May I begin?,Tôi bắt đầu được không ạ
May I begin?,Tôi có thể khởi sự được chưa
May I begin?,Tôi được phép bắt đầu chưa ạ
Nobody came,Không ai tới hết
Nobody came,Không ai đến
Nobody came,Chẳng có ai đến cả
Nobody came,Không một ai xuất hiện
She is kind,Cô ấy là một người tốt bụng
She is kind,Cô ấy rất tử tế
She is kind,Cô ấy có lòng tốt
She is kind,Cô ấy là người nhân hậu
Spit it out,Nói thật đi
Spit it out,Hãy nói thật đi
Spit it out,Hãy nói sự thật đi
Spit it out,Nói toạc ra đi
Talk slowly,Nói chậm thôi
Talk slowly,Hãy nói chậm thôi
Talk slowly,Nói từ từ thôi
Talk slowly,Hãy nói chậm lại
That's easy,Điều đó thật dễ dàng
That's easy,Việc đó dễ ợt
That's easy,Chuyện đó dễ như ăn cháo
That's easy,Đó là chuyện nhỏ
Tom saw you,Tom đã trông thấy bạn
Tom saw you,Tom đã nhìn thấy bạn
Tom saw you,Tom vừa thấy bạn đấy
Tom saw you,Tom đã bắt gặp bạn rồi
Use caution,Hãy cẩn thận
Use caution,Hãy thận trọng
Use caution,Nên cẩn trọng
Use caution,Hãy cẩn thận đề phòng
We miss Tom,Chúng tôi nhớ Tom
We miss Tom,Bọn tôi nhớ Tom
We miss Tom,Chúng tôi rất nhớ Tom
We miss Tom,Tụi tôi đang nhớ Tom
What's that?,Cái này là cái gì
What's that?,Đó là cái gì vậy
What's that?,Vật đó là gì thế
What's that?,Đó là thứ gì vậy
What's this?,Đây là cái gì
What's this?,Cái này là gì vậy
What's this?,Vật này là gì thế
What's this?,Đây là thứ gì vậy
Who is that?,Đó là ai
Who is that?,Người đó là ai vậy
Who is that?,Ai ở đằng kia thế
Who is that?,Người kia là ai vậy
You're mine,Em là của anh
You're mine,Anh là của em
You're mine,Mày là của tao
You're mine,Bạn thuộc về tôi
Anybody home?,Có ai ở nhà không
Anybody home?,Có ai ở nhà không ạ
Anybody home?,Có ai trong nhà không
Anybody home?,Có ai ở đó không
Are you cold?,Bạn có lạnh không
Are you cold?,Bạn lạnh không
Are you cold?,Bạn có cảm thấy lạnh không
Are you cold?,Bạn thấy lạnh à
Are you okay?,Bạn có sao không
Are you okay?,Bạn ổn chứ
Are you okay?,Bạn có khỏe không
Are you okay?,Bạn không sao chứ
Come with me,Đi với tôi
Come with me,Hãy đi cùng tôi
Come with me,Theo tôi
Come with me,Đi cùng tôi nào
Don't be shy,Đừng ngại
Don't be shy,Đừng ngượng
Don't be shy,Đừng rụt rè
Don't be shy,Đừng e thẹn
Don't be shy,Đừng xấu hổ
Drive faster,Lái nhanh hơn đi
Drive faster,Hãy lái nhanh hơn
Drive faster,Chạy nhanh hơn đi
Drive faster,Tăng tốc lên nào
Good evening,Chào buổi tối
Good evening,Chúc một buổi tối tốt lành
Good evening,Buổi tối tốt lành
Good evening,Chào buổi tối
"Hang on, Tom","Chờ chút, Tom"
"Hang on, Tom","Khoan đã, Tom"
"Hang on, Tom","Đợi một chút, Tom"
"Hang on, Tom","Từ từ đã, Tom"
I admire Tom,Tôi ngưỡng mộ Tom
I admire Tom,Tôi rất ngưỡng mộ Tom
I admire Tom,Tôi khâm phục Tom
I admire Tom,Tôi thật sự ngưỡng mộ Tom
I am at home,Tôi đang ở nhà
I am at home,Tôi ở nhà
I am at home,Hiện tại tôi đang ở nhà
I am at home,Tôi có mặt ở nhà
I am curious,Tôi đang tò mò
I am curious,Tôi rất hiếu kỳ
I am curious,Tôi muốn biết thêm
I am curious,Tôi đang rất hứng thú
I don't know,Tôi chưa rõ
I don't know,Tôi không chắc chắn
I don't know,Tôi không nắm được thông tin đó
I don't know,Tôi còn mơ hồ về điều đó
I hear music,Tôi đang nghe thấy âm nhạc
I hear music,Có tiếng nhạc vang lên
I hear music,Tôi nghe được giai điệu
I hear music,Âm thanh của âm nhạc đang vọng đến tai tôi
I like bread,Tôi rất thích ăn bánh mì
I like bread,Bánh mì là món ưa thích của tôi
I like bread,Tôi có sở thích ăn bánh mì
I like bread,Tôi rất khoái bánh mì
I'd buy that,Tôi sẽ mua món đó
I'd buy that,Tôi muốn sở hữu nó
I'd buy that,Tôi sẵn sàng chi tiền cho thứ đó
I'd buy that,Tôi nghĩ đó là một món hời
I'll pay you,Tôi sẽ thanh toán cho bạn
I'll pay you,Tôi hứa sẽ trả tiền
I'll pay you,Tôi cam kết sẽ chi trả
I'll pay you,Tôi sẽ hoàn lại tiền cho bạn
I'm diligent,Tôi rất chăm chỉ
I'm diligent,Tôi làm việc cần cù
I'm diligent,Tôi luôn nỗ lực hết mình
I'm diligent,Tôi không ngại khó khăn
I'm innocent,Tôi hoàn toàn vô can
I'm innocent,Tôi không hề phạm tội
I'm innocent,Tôi chẳng làm gì sai trái
I'm innocent,Tôi là người trong sạch
I'm new here,Tôi vừa mới đến đây
I'm new here,Tôi là người mới gia nhập
I'm new here,Tôi chưa quen thuộc với nơi này
I'm new here,Tôi đang trong giai đoạn làm quen
I'm not free,Tôi đang bận
I'm not free,Tôi không có thời gian rảnh
I'm not free,Lịch của tôi đã kín
I'm not free,Tôi có việc phải làm
I'm retiring,Tôi sắp về hưu
I'm retiring,Tôi chuẩn bị nghỉ việc
I'm retiring,Tôi sẽ rời khỏi công việc hiện tại
Is Monday OK?,Thứ Hai được không
Is Monday OK?,Thứ Hai có ổn không
Is Monday OK?,Ngày đầu tuần có phù hợp không
Is Monday OK?,Ngày đầu tuần có được không
Is Monday OK?,Ngày đầu tuần có ổn không
Is Monday OK?,Thứ Hai được chứ
Is Monday OK?,Thứ Hai có vấn đề gì không
Is Tom there?,Tom có mặt ở đó không
Is Tom there?,Tom có ở đó không
Is Tom there?,Tom có ở đó chứ
Is Tom there?,Tom đã đến chưa
Is Tom there?,Có thể gặp Tom ở đó không
Is Tom there?,Tom có đang ở đó không
It was pizza,Đó là một chiếc bánh pizza
It was pizza,Đó là một chiếc pizza
It was pizza,Món đó chính là pizza
It was pizza,Thứ chúng tôi ăn là pizza
It was pizza,Đó là pizza
It's raining,Mưa đang rơi
It's raining,Ngoài trời đang mưa
It's raining,Trời đang đổ mưa
It's raining,Cơn mưa đang trút xuống
It's raining,Cơn mưa đang xuống
It's so easy,Nó dễ ợt
It's so easy,Nó dễ
It's so easy,Dễ
It's so easy,Chuyện này đơn giản quá
It's so easy,Chuyện này đơn giản
It's so easy,Chuyện này dễ
It's so easy,Dễ như trở bàn tay
It's so easy,Không có gì khó khăn cả
It's so hard,Khó quá đi mất
It's so hard,Khó quá
It's so hard,Quá khó
It's so hard,Thật là nan giải
It's so hard,Nó phức tạp quá
It's so hard,Nó quá phức tạp
It's so hard,Nó phức tạp
It's so hard,Nó khó quá
It's so hard,Nó quá khó
It's so hard,Thật là thách thức
It's the law,Đó là quy định
It's the law,Luật pháp quy định như vậy
It's the law,Đây là pháp luật
It's the law,Luật là vậy
It's the law,Chúng ta phải tuân theo luật
Just call me,Chỉ cần gọi cho tôi thôi
Just call me,Hãy liên lạc với tôi bất cứ lúc nào
Just call me,Đừng ngại gọi cho tôi nhé
Just call me,Tôi luôn sẵn sàng nghe điện thoại của bạn
Keep looking,Hãy tiếp tục tìm kiếm
Keep looking,Đừng ngừng quan sát
Keep looking,Hãy chú ý theo dõi tiếp
Keep looking,Tiếp tục dõi theo nhé
Let Tom stay,Hãy cho phép Tom ở lại
Let Tom stay,Đừng bắt Tom phải đi
Let Tom stay,Tom nên được ở lại đây
Let Tom stay,Chúng ta hãy giữ Tom ở lại
Let Tom wait,Bắt Tom chờ đi
Let Tom wait,Tom cứ đợi thêm chút nữa
Let Tom wait,"Không cần vội, để Tom chờ"
Let Tom wait,Tom sẽ phải kiên nhẫn chờ đợi
Let me dream,Cho tôi được mơ mộng
Let me dream,Đừng phá vỡ giấc mơ của tôi
Let me dream,Tôi muốn được tưởng tượng tự do
Let me dream,Hãy để tôi được sống trong mộng tưởng
Let's try it,Hãy thử làm xem sao
Let's try it,Chúng ta hãy thử nghiệm nó
Let's try it,Cùng nhau thực hiện thử nhé
Let's try it,"Không thử sao biết được, làm thôi"
My eyes hurt,Mắt tôi đau
My eyes hurt,Tôi đau mắt
My eyes hurt,Tôi cảm thấy đau mắt
My eyes hurt,Đôi mắt của tôi đang đau
My eyes hurt,Tôi bị đau nhức ở mắt
My eyes hurt,Mắt tôi bị đau
Now let's go,Đến lúc khởi hành rồi
Now let's go,Đi thôi
Now let's go,"Lúc này, đi thôi"
Now let's go,Đã đến lúc lên đường rồi
Now let's go,"Nào, chúng ta bắt đầu đi thôi"
She liked it,Cô ấy đã cảm thấy thích thú với nó
She liked it,Nó đã khiến cô ấy hài lòng
She liked it,Cô đã rất thích điều đó
She liked it,Nó đã gây ấn tượng tốt với cô ấy
She loves me,Cô ấy dành tình yêu cho tôi
She loves me,Cô ấy yêu tôi
She loves me,Tình cảm của cô ấy dành cho tôi
She loves me,Cô ấy đem lòng yêu tôi
She loves me,Cô ấy yêu thương tôi
Speak softly,Hãy nói khẽ thôi
Speak softly,Đừng nói to quá
Speak softly,Hạ thấp giọng xuống
Speak softly,Nói nhẹ nhàng
Speak softly,Nói nhỏ thôi
Stay at home,Hãy ở yên trong nhà
Stay at home,Đừng ra khỏi nhà
Stay at home,Hãy ở lại nhà
Stay at home,Bạn nên ở nhà
Stay at home,Ở nhà đi
Stay at home,Hãy ở nhà
Stop filming,Ngừng quay phim lại
Stop filming,Dừng quay phim lại
Stop filming,Dừng quay phim
Stop filming,Tắt máy quay đi
Stop filming,Đừng quay nữa
Stop filming,Dừng việc quay phim ngay
That is mine,Đó là tài sản của tôi
That is mine,Vật đó thuộc về tôi
That is mine,Nó thuộc về tôi
That is mine,Nó là của tôi
That is mine,Của tôi
That is mine,Tôi sở hữu món đồ đó
That is mine,Đấy là đồ của tôi
That's my CD,Đĩa CD đó là của tôi
That's my CD,Đó là đĩa CD của tôi
That's my CD,CD ấy thuộc sở hữu của tôi
That's my CD,Tôi là chủ nhân của đĩa CD
That's my CD,Đĩa nhạc kia là tài sản của tôi
That's my CD,Đĩa nhạc kia là của tôi
Tom helps us,Tom hỗ trợ chúng tôi
Tom helps us,Tom giúp đỡ chúng tôi
Tom helps us,Tom trợ giúp chúng tôi
Tom helps us,Tom giúp chúng tôi
Tom helps us,Tom là người hỗ trợ chúng tôi
Tom loves it,Tom rất yêu thích nó
Tom loves it,Tom cảm thấy hứng thú với nó
Tom loves it,Tom say mê nó
Tom loves it,Nó khiến Tom thích thú
Tom was poor,Tom đã từng sống trong cảnh nghèo khó
Tom was poor,Tom đã từng nghèo
Tom was poor,Tom từng nghèo
Tom was poor,Tom đã nghèo
Tom was poor,"Trước đây, Tom rất nghèo"
Tom was poor,"Trước đây, Tom rất khó khăn"
Tom was poor,Tom đã trải qua thời kỳ túng thiếu
Tom was poor,Tom đã từng túng thiếu
Tom was poor,Tom đã từng là người không có tiền
Trust no one,Đừng tin một ai
Trust no one,Đừng tin ai
Trust no one,Đừng tin ai cả
Trust no one,Đừng tin ai hết
Trust no one,Đừng tin bất cứ ai
Trust no one,Đừng tin bất kỳ ai
Trust no one,Đừng đặt niềm tin vào ai cả
We need both,Chúng ta cần cả hai
We need both,Cả hai đều cần thiết
We need both,Chúng ta cần cả hai thứ
We need both,Chúng ta đều cần cả hai
Who built it?,Ai đã xây cái đó vậy
Who built it?,Ai đã xây cái đó
Who built it?,Ai là người đã xây cái đó
Who built it?,Ai đã làm ra cái đó
Won't you go?,Sao bạn chưa đi
Won't you go?,Sao bạn không đi
Won't you go?,Tại sao bạn chưa đi
Won't you go?,Bạn không đi sao
Won't you go?,Bạn không đi à
You're bossy,Bạn thật áp đặt
You're bossy,Bạn rất là áp đặt
You're bossy,Bạn thật là áp đặt
You're bossy,Bạn thích sai khiến người khác
You're fussy,Bạn khó chiều quá
You're fussy,Bạn quá khó tính
You're fussy,Bạn thật khó tính
You're fussy,Bạn kén chọn
Ask any woman,Hãy hỏi bất kỳ phụ nữ nào
Ask any woman,Cứ hỏi bất cứ người phụ nữ nào
Ask any woman,Hỏi bất kỳ người phụ nữ nào
Ask any woman,Bạn có thể hỏi bất kỳ phụ nữ nào
Birds can fly,Chim có thể bay
Birds can fly,Các loài chim có thể bay
Birds can fly,Loài chim có khả năng bay
Birds can fly,Loài chim có thể bay
Birds can fly,Chim bay được
Get over here,Lại đây nào
Get over here,Lại đây
Get over here,Lại đây đi
He dug a hole,Anh ấy đã đào một cái hố
He dug a hole,Ông ấy đã đào một cái hố
How far is it?,Nó cách bao xa
How far is it?,Nó cách đây bao xa
I can't go on,Tôi không thể tiếp tục
I could do it,Tôi đã có thể làm điều này
I could do it,Tôi đã có thể làm được
I feel better,Tôi khỏe hơn rồi
I feel lonely,Tôi cảm thấy cô đơn
I hate moving,Tớ ghét di chuyển
I have a book,Tôi có một cuốn sách
I know Boston,Tôi biết Boston
I know Boston,Tôi có biết Boston
I play tennis,Tôi chơi môn quần vợt
I wear boxers,Tôi mặc quần đùi
I'll kill you,Tôi sẽ giết bạn
I'll show you,Tôi sẽ cho bạn xem
I'll show you,Tôi sẽ cho bạn thấy
I'm in charge,Tôi đang phụ trách
Is Tom around?,Tom có ở đó không
Is Tom famous?,Tom có nổi tiếng không vậy
Isn't it true?,Không đúng hả
Isn't it true?,Điều đó không đúng ư
Get over here,Lại đây nào
Get over here,Lại đây đi
Get over here,Nhanh lại đây
Get over here,Đến đây mau
He dug a hole,Anh ấy đã đào một cái hố
He dug a hole,Ông ấy đã đào một cái hố
He dug a hole,Anh ta đào một cái hố
He dug a hole,Ông ta đã làm một cái hố
How far is it?,Nó cách bao xa
How far is it?,Nó cách đây bao xa
How far is it?,Khoảng cách là bao nhiêu
How far is it?,Nó xa đến mức nào
I can't go on,Tôi không thể tiếp tục
I can't go on,Tôi không thể đi tiếp
I can't go on,Tôi không thể làm tiếp được
I can't go on,Tôi không thể duy trì được nữa
I could do it,Tôi đã có thể làm điều này
I could do it,Tôi đã có thể làm được
I could do it,Tôi có thể làm được việc này
I could do it,Tôi đã có khả năng làm điều đó
I feel better,Tôi khỏe hơn rồi
I feel better,Tôi cảm thấy tốt hơn
I feel better,Tôi cảm thấy khá hơn
I feel better,Sức khỏe tôi đã tốt hơn
I feel lonely,Tôi cảm thấy cô đơn
I feel lonely,Tôi thấy cô đơn quá
I feel lonely,Tôi cảm giác rất cô đơn
I feel lonely,Tôi đang rất cô đơn
I hate moving,Tớ ghét di chuyển
I hate moving,Mình ghét phải di chuyển
I hate moving,Tớ rất ghét phải đi lại
I hate moving,Tớ rất ghét phải di chuyển
I hate moving,Tôi ghét phải di chuyển
I hate moving,Tôi ghét phải đi lại
I have a book,Tôi có một cuốn sách
I have a book,Tôi sở hữu một cuốn sách
I know Boston,Tôi biết Boston
I know Boston,Tôi có biết Boston
I know Boston,Tôi quen Boston
I know Boston,Tôi biết đến Boston
I play tennis,Tôi chơi môn quần vợt
I play tennis,Tôi chơi tennis
I play tennis,Tôi chơi môn tennis
I play tennis,Tôi chơi quần vợt
I wear boxers,Tôi mặc quần đùi
I wear boxers,Tôi đang mặc quần đùi
I wear boxers,Tôi hay mặc quần đùi
I wear boxers,Tôi thường mặc quần đùi
I'll kill you,Tôi sẽ giết bạn
I'll kill you,Tôi sẽ hạ bạn
I'll kill you,Tôi sẽ kết liễu bạn
I'll kill you,Tôi sẽ tiêu diệt bạn
I'll show you,Tôi sẽ cho bạn xem
I'll show you,Tôi sẽ cho bạn thấy
I'll show you,Tôi sẽ chỉ cho bạn xem
I'll show you,Tôi sẽ chỉ cho bạn thấy
I'm in charge,Tôi đang phụ trách
I'm in charge,Tôi là người phụ trách
I'm in charge,Tôi chịu trách nhiệm
I'm in charge,Tôi là người chịu trách nhiệm
I'm in charge,Tôi là người đứng đầu
I'm in charge,Tôi đang quản lý công việc
Is Tom around?,Tom có ở đó không
Is Tom around?,Tom có mặt ở đây không
Is Tom around?,Tom có ở quanh đây không
Is Tom around?,Tom có ở gần đây không
Is Tom famous?,Tom có nổi tiếng không vậy
Is Tom famous?,Tom có nổi tiếng không
Is Tom famous?,Tom có phải là người nổi tiếng không
Is Tom famous?,Tom nổi tiếng lắm à
Isn't it true?,Không đúng hả
Isn't it true?,Điều đó không đúng ư
Isn't it true?,Đó không phải là sự thật sao
Isn't it true?,Chẳng lẽ điều đó không đúng?
It gets worse,Tình hình trở nên xấu đi
It gets worse,Nó trở nên tệ hơn
It gets worse,Mọi thứ trở nên tệ hơn
It gets worse,Tình hình càng ngày càng tệ
It is raining,Trời đang mưa
It is raining,Mưa đang rơi
It is raining,Trời đang có mưa
It is raining,Mưa đang bắt đầu rơi
It works well,Cái đó dùng tốt lắm
It works well,Dùng được lắm
It works well,Rất hiệu quả
It works well,Nó hoạt động tốt
It's a weapon,Đó là một vũ khí
It's a weapon,Đây là một loại vũ khí
It's a weapon,Nó là vũ khí
It's a weapon,Cái này là vũ khí
It's not warm,Nó không ấm
It's not warm,Thời tiết không ấm
It's not warm,Nó không đủ ấm
It's not warm,Nhiệt độ không ấm lắm
It's too easy,Nó dễ như ăn bánh vậy
It's too easy,Điều đó quá dễ
It's too easy,Việc này quá dễ dàng
It's too easy,Cái này quá đơn giản
